Country,Longitude,Latitude,ClimateZone,Temperature,Precipitation,SOC_initial,TN_initial,TP_initial,NH4_N_initial,NO3_N_initial,OlsenP_initial,pH_initial,BD_initial,CEC_initial,Texture_initial,Sand_initial,Silt _initial,Clay_initial,Type_biochar,ParticleSize_biochar,BD_biochar,PyrolysisTemperature_biochar,Ash_biochar,C_biochar,N_biochar,P_biochar,CNRatio_biochar,pH_biochar,CEC_biochar,Treatment,BiocharAddition,CropType,TrialDuration,SoilDepth,SOC_T,TN_T,CNRatio_T,DOC_T,NH4_N_T,NO3_N_T,OlsenP_T,CEC_T,K_T,Ca_T,Mg_T,Na_T,pH_T,SMBC_T,SMBN_T,CropYield_T,CO2_T,CH4_T,N2O_T,GWP_T,GHGI_T
New Zealand,172.46,-43.65,Temperate,10.95,553.0,,,,,,,5.5,,14.0,Silty loam,,,,Wood,,,450.00 ,,772.0,0.65,,1187.0,7.8,,BN,15.0,Ryegrass,60.0,15.0,,,,,,,,,,,,,,,,19.9,,,5.2,7.3463972317848585,77.87
New Zealand,172.46,-43.65,Temperate,10.95,553.0,,,,,,,5.5,,14.0,Silty loam,,,,Wood,,,450.00 ,,772.0,0.65,,1187.0,7.8,,BN,15.0,Ryegrass,60.0,15.0,,,,,,,,,,,,,,,,18.5,,,,,
New Zealand,172.46,-43.65,Temperate,10.95,553.0,,,,,,,5.5,,14.0,Silty loam,,,,Wood,,,450.00 ,,772.0,0.65,,1187.0,7.8,,BN,30.0,Ryegrass,60.0,15.0,,,,,,,,,,,,,,,,18.2,,,,,
New Zealand,172.46,-43.65,Temperate,10.95,553.0,,,,,,,5.5,,14.0,Silty loam,,,,Wood,,,450.00 ,,772.0,0.65,,1187.0,7.8,,BN,15.0,Ryegrass,60.0,15.0,,,,,,,,,,,,,,,,10.4,,,,,
New Zealand,172.46,-43.65,Temperate,10.95,553.0,,,,,,,5.5,,14.0,Silty loam,,,,Wood,,,450.00 ,,772.0,0.65,,1187.0,7.8,,BN,30.0,Ryegrass,60.0,15.0,,,,,,,,,,,,,,,,8.2,,,,,
Pakistan,73.0,31.0,Subtropic,16.0,1145.0,20.3,3.39,,,,6.92,7.83,,,Loam,40.0,37.5,22.5,Wood,,,500-700,,497.1,10.3,2.06,56.31,6.58,2340.0,BPK,3.0,Wheat,157.0,,,,,,,,,23.39,,,,,7.97,,,4.3,,,,,
Pakistan,73.0,31.0,Subtropic,16.0,1145.0,20.3,3.39,,,,6.92,7.83,,,Loam,40.0,37.5,22.5,Wood,,,500-700,,497.1,10.3,2.06,56.31,6.58,2340.0,BPK,5.0,Wheat,157.0,,,,,,,,,23.51,,,,,7.99,,,4.45,,,,,
Pakistan,73.0,31.0,Subtropic,16.0,1145.0,20.3,3.39,,,,6.92,7.83,,,Loam,40.0,37.5,22.5,Wood,,,500-700,,497.1,10.3,2.06,56.31,6.58,2340.0,BPK,8.0,Wheat,157.0,,,,,,,,,23.59,,,,,7.97,,,4.55,,,,,
Pakistan,73.0,31.0,Subtropic,16.0,1145.0,20.3,3.39,,,,6.92,7.83,,,Loam,40.0,37.5,22.5,Wood,,,500-700,,497.1,10.3,2.06,56.31,6.58,2340.0,BPK,10.0,Wheat,157.0,,,,,,,,,23.66,,,,,7.95,,,4.83,,,,,
Pakistan,73.0,31.0,Subtropic,16.0,1145.0,20.3,3.39,,,,6.92,7.83,,,Loam,40.0,37.5,22.5,Wood,,,500-700,,497.1,10.3,2.06,56.31,6.58,2340.0,BPK,13.0,Wheat,157.0,,,,,,,,,23.45,,,,,7.9,,,4.95,,,,,
